bus_index,bus_label,true_vm_pu,true_va_deg,pandapower_vm_pu,pandapower_va_deg,pandapower_vm_err_pu,pandapower_va_err_deg,Rust_StateRustimation_vm_pu,Rust_StateRustimation_va_deg,Rust_StateRustimation_vm_err_pu,Rust_StateRustimation_va_err_deg
34,34,1.01000000,22.69200980,1.00949898,22.69071368,5.01015818e-04,1.29611793e-03,1.00963426,22.68575409,3.65743031e-04,6.25570876e-03
35,35,1.04932680,19.65812027,1.04940798,19.65693300,8.11787426e-05,1.18727034e-03,1.04956546,19.65184329,2.38658687e-04,6.27698206e-03
36,36,1.05000000,22.64940723,1.05027980,22.65185652,2.79795240e-04,2.44929388e-03,1.05047319,22.64557997,4.73187808e-04,3.82725643e-03
37,37,1.05000000,22.63407384,1.04972380,22.64114741,2.76201873e-04,7.07356973e-03,1.04991715,22.63487559,8.28511095e-05,8.01748511e-04
38,38,1.05000000,22.70057151,1.04978528,22.71292157,2.14717429e-04,1.23500544e-02,1.04997325,22.70559213,2.67517151e-05,5.02062041e-03
39,39,1.04845448,18.98679032,1.04861594,18.98284062,1.61456256e-04,3.94969870e-03,1.04876754,18.97797924,3.13060993e-04,8.81108111e-03
40,40,1.05000000,21.89411134,1.05066063,21.89969281,6.60629610e-04,5.58146757e-03,1.05083912,21.89354012,8.39118978e-04,5.71216719e-04
41,41,1.05000000,21.91921275,1.05007461,21.91305271,7.46109245e-05,6.16003729e-03,1.05025345,21.90689056,2.53454715e-04,1.23221928e-02
42,42,1.05000000,21.89094297,1.05026402,21.88330056,2.64017416e-04,7.64241348e-03,1.05044220,21.87715714,4.42198515e-04,1.37858279e-02
43,43,1.04982619,-2.32944176,1.04999973,-2.32659613,1.73539602e-04,2.84563600e-03,1.05010814,-2.32586626,2.81956595e-04,3.57550106e-03
44,44,1.05000000,1.10324500,1.05015775,1.10586230,1.57749229e-04,2.61730022e-03,1.05035615,1.10477910,3.56147408e-04,1.53410022e-03
45,45,1.05000000,1.12033081,1.05014605,1.12778250,1.46053878e-04,7.45168928e-03,1.05034573,1.12667678,3.45734230e-04,6.34596989e-03
46,46,1.04618734,17.76752735,1.04634330,17.76444908,1.55967187e-04,3.07826770e-03,1.04649563,17.75986583,3.08291651e-04,7.66151930e-03
47,47,1.05000000,21.63463013,1.04989751,21.62422695,1.02486370e-04,1.04031752e-02,1.05007953,21.61779843,7.95291348e-05,1.68317003e-02
48,48,1.05000000,21.97547729,1.05033752,21.97655807,3.37515071e-04,1.08078573e-03,1.05052652,21.96987390,5.26518191e-04,5.60338855e-03
49,49,1.04754592,18.76335459,1.04764999,18.76153231,1.04066669e-04,1.82228076e-03,1.04780621,18.75673070,2.60290861e-04,6.62389605e-03
50,50,1.05000000,22.66795316,1.05015901,22.66643821,1.59008474e-04,1.51495379e-03,1.05035251,22.66002709,3.52514068e-04,7.92607146e-03
51,51,1.05000000,22.88817817,1.04989807,22.87249780,1.01926385e-04,1.56803656e-02,1.05009142,22.86600682,9.14196894e-05,2.21713466e-02
52,52,1.02114005,-10.79027396,1.02131376,-10.79005810,1.73707574e-04,2.15861858e-04,1.02142365,-10.78695351,2.83603091e-04,3.32044859e-03
53,53,1.01000000,-10.80088325,1.01022183,-10.80622610,2.21833348e-04,5.34284422e-03,1.01043478,-10.80355077,4.34783114e-04,2.66751912e-03
54,54,1.01000000,-10.80084554,1.01014885,-10.82360032,1.48853368e-04,2.27547810e-02,1.01036221,-10.82091666,3.62209470e-04,2.00711194e-02
55,55,1.04672142,15.55941982,1.04684866,15.56206799,1.27243703e-04,2.64816424e-03,1.04696232,15.55799802,2.40901406e-04,1.42180087e-03
56,56,1.05000000,19.94176649,1.05016528,19.95492981,1.65279953e-04,1.31633200e-02,1.05033394,19.94902114,3.33944330e-04,7.25464585e-03
57,57,1.04828536,15.66099319,1.04838441,15.65483374,9.90549350e-05,6.15944981e-03,1.04850379,15.65076940,2.18431431e-04,1.02237878e-02
58,58,1.05000000,20.13539406,1.05000322,20.13992170,3.21824491e-06,4.52763579e-03,1.05009611,20.13467025,9.61098810e-05,7.23810126e-04
59,59,1.03547834,13.71376954,1.03555798,13.70496270,7.96345055e-05,8.80684621e-03,1.03565555,13.70158447,1.77209038e-04,1.21850725e-02
60,60,1.05000000,18.11663871,1.05024522,18.07737370,2.45218617e-04,3.92650111e-02,1.05034424,18.07284915,3.44239192e-04,4.37895552e-02
61,61,1.05000000,19.98350103,1.04995662,19.98268192,4.33795674e-05,8.19116846e-04,1.05012477,19.97676429,1.24769951e-04,6.73673855e-03
62,62,1.04559980,21.16653181,1.04558006,21.17190304,1.97384096e-05,5.37123293e-03,1.04553754,21.16690726,6.22564080e-05,3.75446829e-04
63,63,1.05000000,35.02406842,1.05062490,35.04215549,6.24897372e-04,1.80870674e-02,1.05064699,35.03660763,6.46994259e-04,1.25392076e-02
64,64,1.04000000,28.14577078,1.03930705,28.13413415,6.92945158e-04,1.16366369e-02,1.03932879,28.12883602,6.71211904e-04,1.69347633e-02
65,65,1.05044072,16.34743736,1.05053790,16.34065077,9.71846491e-05,6.78659738e-03,1.05043158,16.33628030,9.13883482e-06,1.11570633e-02
66,66,1.05000000,20.90152654,1.05006216,20.88417244,6.21639415e-05,1.73541017e-02,1.04998810,20.87983174,1.19023974e-05,2.16948066e-02
67,67,1.05045090,16.31243011,1.05063467,16.30303533,1.83773123e-04,9.39478495e-03,1.05061946,16.29852630,1.68562093e-04,1.39038117e-02
68,68,1.05000000,20.86735517,1.04982432,20.84392467,1.75679019e-04,2.34304940e-02,1.04977019,20.83890207,2.29808657e-04,2.84530919e-02
69,69,1.04998629,15.27444919,1.05025518,15.26718900,2.68888516e-04,7.26019132e-03,1.05015788,15.26265950,1.71595548e-04,1.17896954e-02
70,70,1.05000000,19.80927339,1.05064145,19.79114189,6.41452529e-04,1.81315024e-02,1.05051718,19.78734308,5.17184981e-04,2.19303102e-02
71,71,1.04989260,15.28352953,1.05008809,15.27890844,1.95487683e-04,4.62109463e-03,1.04996106,15.27460073,6.84606979e-05,8.92880722e-03
72,72,1.05000000,19.62182318,1.05048997,19.59994061,4.89967845e-04,2.18825736e-02,1.05047394,19.59398987,4.73940259e-04,2.78333097e-02
73,73,1.04908642,0.77836714,1.04913442,0.78173455,4.79969347e-05,3.36740499e-03,1.04926291,0.78172649,1.76493208e-04,3.35935259e-03
74,74,1.00000000,0.77792852,1.00014717,0.78423261,1.47167273e-04,6.30408928e-03,1.00029219,0.78423974,2.92190063e-04,6.31122374e-03
75,75,1.00000000,0.77799870,1.00036051,0.79468151,3.60508212e-04,1.66828083e-02,1.00050548,0.79468813,5.05479336e-04,1.66894353e-02
76,76,1.00000000,0.77796841,0.99981973,0.77879773,1.80266085e-04,8.29317013e-04,0.99996509,0.77880836,3.49097490e-05,8.39946523e-04
77,77,1.00000000,0.77802467,1.00012278,0.77801712,1.22775193e-04,7.55475922e-06,1.00026835,0.77803048,2.68346703e-04,5.81153228e-06
78,78,1.04903822,23.14701591,1.04908246,23.14648645,4.42319664e-05,5.29456139e-04,1.04908479,23.14313086,4.65637178e-05,3.88504935e-03
79,79,1.05000000,26.50057027,1.05001990,26.50499051,1.99031580e-05,4.42023789e-03,1.05010035,26.50096183,1.00346928e-04,3.91564213e-04
80,80,1.05000000,26.50865942,1.04989896,26.50986032,1.01044494e-04,1.20090208e-03,1.04997893,26.50583673,2.10690620e-05,2.82268423e-03
81,81,1.04919607,18.00635439,1.04915240,18.00844730,4.36661264e-05,2.09291156e-03,1.04932227,18.00403775,1.26200704e-04,2.31664646e-03
82,82,1.05000000,21.22402972,1.05018698,21.23871676,1.86976446e-04,1.46870466e-02,1.05036095,21.23336349,3.60950323e-04,9.33377902e-03
83,83,1.05000000,21.26824320,1.04981982,21.25465954,1.80184698e-04,1.35836632e-02,1.04999422,21.24930046,5.77514722e-06,1.89427486e-02
84,84,1.05000000,21.15099537,1.04987136,21.14147979,1.28639887e-04,9.51557101e-03,1.05004456,21.13616071,4.45620587e-05,1.48346535e-02
85,85,1.05000000,21.11005638,1.04971860,21.11591260,2.81399308e-04,5.85621746e-03,1.04989180,21.11060079,1.08203450e-04,5.44410959e-04
86,86,1.04898594,-8.87153268,1.04923865,-8.87845513,2.52711414e-04,6.92244904e-03,1.04951969,-8.87672833,5.33750550e-04,5.19564527e-03
